iter	Passed	Remaining
0	0	57
1	1	51
2	1	58
3	2	54
4	2	54
5	3	52
6	3	52
7	4	51
8	4	50
9	5	49
10	6	49
11	6	50
12	7	50
13	7	48
14	8	47
15	8	45
16	9	46
17	9	45
18	10	44
19	11	44
20	11	43
21	11	42
22	12	41
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	36
29	15	36
30	15	35
31	16	35
32	17	34
33	17	34
34	17	33
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	49	3
94	49	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
