iter	Passed	Remaining
0	66	66820
1	67	33669
2	68	22669
3	68	17132
4	69	13789
5	69	11554
6	70	9954
7	70	8773
8	71	7843
9	71	7094
10	72	6488
11	72	5971
12	72	5532
13	73	5177
14	73	4854
15	74	4568
16	74	4327
17	75	4133
18	76	3941
19	76	3763
20	77	3604
21	77	3456
22	78	3326
23	78	3201
24	79	3104
25	80	3004
26	80	2906
27	81	2816
28	81	2732
29	82	2659
30	82	2583
31	83	2515
32	83	2450
33	84	2389
34	84	2334
35	85	2278
36	85	2222
37	85	2170
38	86	2135
39	87	2100
40	87	2057
41	88	2022
42	89	1988
43	89	1949
44	90	1915
45	90	1881
46	91	1849
47	91	1824
48	92	1794
49	92	1763
50	93	1738
51	94	1718
52	94	1693
53	95	1670
54	95	1649
55	96	1627
56	96	1604
57	97	1583
58	97	1561
59	98	1540
60	98	1522
61	99	1504
62	99	1486
63	100	1469
64	101	1458
65	101	1440
66	102	1424
67	102	1407
68	103	1394
69	104	1382
70	104	1368
71	105	1354
72	105	1340
73	106	1329
74	106	1317
75	107	1306
76	107	1293
77	108	1280
78	108	1269
79	109	1256
80	109	1244
81	110	1233
82	110	1221
83	111	1210
84	111	1199
85	111	1189
86	112	1178
87	112	1167
88	113	1156
89	113	1146
90	114	1138
91	114	1128
92	114	1120
93	115	1110
94	115	1101
95	116	1093
96	116	1085
97	117	1077
98	118	1076
99	118	1068
100	119	1062
101	121	1065
102	121	1058
103	122	1051
104	122	1043
105	122	1036
106	123	1028
107	123	1020
108	124	1020
109	125	1013
110	125	1006
111	126	999
112	126	992
113	126	985
114	127	978
115	127	971
116	127	965
117	128	958
118	128	952
119	129	946
120	129	940
121	129	933
122	129	926
123	130	920
124	130	914
125	130	907
126	131	901
127	131	895
128	131	890
129	132	885
130	132	880
131	133	875
132	133	871
133	133	865
134	134	860
135	134	856
136	135	851
137	135	847
138	136	842
139	136	838
140	137	835
141	137	829
142	137	825
143	138	820
144	138	816
145	138	812
146	139	807
147	139	803
148	140	799
149	140	795
150	140	792
151	141	788
152	141	785
153	142	781
154	142	778
155	143	774
156	143	770
157	143	766
158	144	762
159	144	759
160	144	754
161	145	751
162	145	747
163	145	744
164	146	740
165	146	737
166	147	733
167	147	730
168	148	727
169	148	724
170	148	721
171	149	719
172	149	716
173	150	713
174	150	710
175	150	706
176	151	703
177	151	700
178	152	697
179	152	694
180	152	692
181	153	689
182	153	687
183	154	684
184	154	682
185	155	679
186	155	676
187	155	673
188	156	670
189	156	667
190	157	665
191	157	662
192	158	660
193	158	658
194	158	656
195	159	653
196	159	650
197	159	647
198	160	644
199	160	641
200	160	638
201	161	637
202	161	634
203	162	632
204	162	631
205	163	628
206	163	626
207	163	623
208	164	621
209	164	618
210	164	616
211	165	613
212	165	611
213	165	609
214	166	607
215	166	605
